Stromasubtype,Feature,Effect Size,Pvalue,Stroma subtype
,CXCR4,32.48700687607899,4.1084276353803524e-05,IM
,FLT4,2.09694155015814e-12,0.0009023153867614934,IM
,Bile acid metabolism,0.9998361460371691,0.03877126599483449,IM
,DNMT3B,0.9999862248730501,0.01195600783964502,IM
,GGI,1.0000312378844094,0.3630198124616336,IM
,Complement,30.258289828405122,7.315494744767279e-06,IM
,iDC,7.707454049082999,0.004913370045879561,IM
,BRCA2,0.9999773547997182,0.48756417972445776,IM
,ERBB3,0.9997366682643303,0.2673847520609818,IM
,Fatty acid metabolism,0.9998925146438226,0.23448017528146925,IM
,CD137,15142812654512.168,9.836058824796502e-10,IM
,PSMA,1.0000051274329305,0.44843804083018146,IM
,Myogenesis,0.0003187964684681941,1.2184037986749432e-08,IM
,NK cells,1.0000023356384509,0.8637895410813446,IM
,Xenobiotic metabolism,0.25697283692384365,0.2639582012392816,IM
,FANCA,1.000113230504525,0.011425823169232473,IM
,RB1,1.8566102286210052e-09,0.001338343389691569,IM
,Class-switched memory B-cells,108032879.67550647,2.4758061313326658e-05,IM
,IFNAR1,1.0000173365866623,0.8857964806963378,IM
,CIN70,1.0000080472217892,0.8294260616023671,IM
,Immune2,1202630.1163937876,3.6564535323345086e-12,IM
,cDC,5267.416682458032,0.00017668497556151813,IM
,AR,0.9995782033864515,0.0023652658565986415,IM
,ESR1 gene,0.9999333544714603,0.059688811201280736,IM
,PALB2,0.9999798744663959,0.05861574015929342,IM
,Hedgehog signaling,0.0005639667222731068,8.601831149843352e-08,IM
,AKT1,0.0061084767503857594,0.0037742220535946494,IM
,BRCA1,0.9999578177653798,0.7617308593438651,IM
,Interferon alpha response,7.926890557347425,2.2468456470060874e-10,IM
,Coagulation,0.9998595755382771,0.2605620568037572,IM
,NTRK3,0.9999788776064467,0.25386076165015037,IM
,CCND1,0.9999643510003454,0.719548055924393,IM
,Apoptosis,1.0000363671546455,0.8108146214238597,IM
,CCL5,127.3210693668993,6.417058060574534e-12,IM
,Mitotic spindle,0.11299227695981033,0.010427671539740257,IM
,CDK2,0.9999828292131243,0.24728038245492145,IM
,CD27,7813.95088352509,4.026800142094104e-08,IM
,RAD50,0.00028451311258901533,2.0362408263696954e-05,IM
,Oxidative phosphorylation,4.2853862406226755,0.0985979232032583,IM
,CDK6,0.9998809562381703,0.12552204314118923,IM
,mTORC1 signaling,1.0002204800463186,0.06414530380369746,IM
,naive B-cells,42052924.528893895,0.005558253560313622,IM
,CD8+ T-cells,443512442.1090864,2.0533380248546531e-07,IM
,pDC,1044338.7122073204,2.457266306549815e-12,IM
,Epithelial cells,6.526196545233779e-06,0.008263564038269094,IM
,Trm,404.9402243765843,2.2811964250235433e-09,IM
,LIV-1,2.783702019102755e-05,3.577275180146642e-05,IM
,TP53,0.9999203371136202,0.1002361119129782,IM
,Smooth muscle,0.999889904053746,0.0026982916168788247,IM
,TLS ST,6.250612157940762,5.373212090575562e-10,IM
,CD47,10.2435711320886,0.0037742220535946494,IM
,Memory B-cells,11901107.662610373,3.2243241196993546e-10,IM
,PDGFC,6.169275536661682e-16,1.8956684864338963e-05,IM
,CSF1R,12.5612610981448,0.00256025051553024,IM
,TLS Cabrita,25.131116536363802,4.288244656215964e-09,IM
,CCNE1,1.0000437544427079,0.05059512740229612,IM
,TLR3,1.0000134366933908,0.01741654661694698,IM
,ERBB2,0.047274208966515845,0.0017609806758347717,IM
,TTK,0.9999559767763463,0.06887301039922762,IM
,PGR,0.9999910601387094,0.18532275920010033,IM
,Angiogenesis,0.01444395247478633,3.879950669466342e-07,IM
,DNA repair,1.0001420752371226,0.0985979232032583,IM
,ATM,0.09092676591670942,0.055492250628283606,IM
,MYC targets v1,1.000214921295555,0.13359241515476078,IM
,CMP,0.9999936274798343,0.03184123423938322,IM
,GENE70,0.9999670368202456,0.13777535422710188,IM
,Androgen response,0.9996529337233097,0.0036793460079422723,IM
,DNMT1,0.9998668200263414,0.08624945359757753,IM
,wound-myCAF,0.07103631169891908,2.9281485384995267e-06,IM
,CD4+ naive T-cells,3503950.9145228923,1.7679608246897654e-08,IM
,MPP,1.609928303969639e+21,0.0013016873265128425,IM
,MSH6,0.9999251131711512,0.07388333051737085,IM
,Neurons,0.9999979671497867,3.4200710402957125e-07,IM
,p53 pathway,0.9999880586603747,0.9872676194533235,IM
,MSH2,0.9999280212321521,0.0008768689291974335,IM
,Apical surface,0.999933879780975,0.5602435640592998,IM
,LAG3,9822.4667438395,5.154849570544408e-13,IM
,EGFR,0.9999504976100948,0.00035066941144011094,IM
,Inflammatory response,162.7407538641465,8.175525606435466e-07,IM
,CD4+ Tem,196505072.6456724,0.000329881267435902,IM
,NKG2A,54571740944851.32,0.3263765400561758,IM
,MSH3,2.6448882415352163e-12,0.00031025078604842023,IM
,FANCM,0.9999683833803675,0.005099341544902313,IM
,Epithelial mesenchymal transition,0.022683909070887517,3.515473874886061e-08,IM
,CD134,1776.6801525436167,4.1084276353803524e-05,IM
,TLS Lundeberg,1.0000030009795893,9.836058824796502e-10,IM
,ESR1,0.9999333544714603,0.059688811201280736,IM
,NBN,4.529319260766366e-06,0.0022429330239551143,IM
,GPNMB,0.9999890248625024,0.9872676194533235,IM
,Interferon gamma response,60.00677473834944,2.4918802187603044e-10,IM
,CD4+ Tcm,1.000002468981694,0.6899236014419857,IM
,CD40,38108.54263183547,5.4212753130548344e-11,IM
,Parpi7,1.0000060866814329,0.6095841149063019,IM
,TIGIT,1875989867297.6538,8.752213528471806e-11,IM
,ADA,1673717.728714172,1.0257069521473633e-07,IM
,VISTA,237.66294227825816,2.2270135395946897e-06,IM
,Peroxisome,0.9998806301370039,0.11597433334282302,IM
,CDK4,0.99996525593737,0.968176140030276,IM
,CLP,0.9999949918678297,0.3443872247033991,IM
,Normal Fibroblast,0.9997160610812217,0.02998143298150643,IM
,B7-H3,0.014453612489146497,1.8956684864338963e-05,IM
,pro B-cells,124813152035663.95,5.2745672793932607e-08,IM
,NTRK1,0.9999971069194429,0.38444793657675835,IM
,ICOS,3306525.4479197576,2.8400996770780398e-11,IM
,CAF,0.9995508467142861,0.0013759497405138289,IM
,DC,805864474260.7274,6.031669006533583e-08,IM
,PTEN,0.00020666326506886928,1.6417650975375935e-05,IM
,Hypoxia,0.0020990752403243843,1.2278237738567173e-05,IM
,Estrogen response late,0.9998193551756155,0.0125078901876708,IM
,Monocytes,1.0000309758628518,0.0607781272895693,IM
,Protein secretion,0.0613275921687101,0.0009552738181263187,IM
,IDO1,267583.57866456825,3.5352601641560874e-09,IM
,TLR7,1.0000879636762248,0.0009023153867614934,IM
,PIK3CG,0.9999970036323484,0.3303250581350854,IM
,IL2RA,644604.0623715528,1.0602590963808274e-05,IM
,EMSY,3.4244532570089164e-05,0.015965168830923433,IM
,PLK4,0.9999881387480348,0.8669273381068334,IM
,CTLA4,374068681624374.06,4.870546614333858e-11,IM
,aDC,9142.579437825041,1.5609263151137714e-10,IM
,TAM,7.619053264669428,3.722153578203085e-11,IM
,TGF beta signaling,0.03451576276954484,2.408901526621045e-06,IM
,MLH3,7.98802777077122e-10,6.618830944490725e-05,IM
,MSC,0.9998504829241113,0.04108523709733406,IM
,Neutrophils,0.9999987181275293,0.533694891417529,IM
,Cholesterol homeostasis,0.07468417682864986,0.018184695552882282,IM
,Unfolded protein response,1.0001500533416865,0.14644326813028122,IM
,IL2 STAT5 signaling,48.27834598301364,0.0006376167251428773,IM
,IFNGR1,0.9999972133617736,0.8732091785543693,IM
,Tgd cells,1.0000006359258238,0.5956855068300358,IM
,B-cells,8099.481313633585,2.2468456470060874e-10,IM
,CHEK2,1.000009903939737,0.10875502212549076,IM
,PMS2,0.9999811139863501,0.009730765644514014,IM
,CDKN2A,1.0002859987488195,0.12356504287704502,IM
,CD4+ T-cells,3.5018051334450268e+16,0.882646824672846,IM
,MYC,0.9998899035949583,0.021111662980052275,IM
,FLT1,5.046082726104264e-09,2.2270135395946897e-06,IM
,DCIR,2407311.8234104547,7.230513443972055e-07,IM
,VEGFB,0.9997315560431882,0.005766094070713993,IM
,Adipogenesis,0.9998212336270941,0.04874032533137299,IM
,CD96,2884827773.053721,1.1425102909274451e-09,IM
,Plasma cells,55716524405144.695,3.278822356663503e-07,IM
,CXCL12,0.9997639268411608,0.0029181377455937446,IM
,ABRAXAS1,2.536445407664687e-09,0.0023033556702615086,IM
,KDR,1.304089979563694e-32,8.989577288757412e-08,IM
,CD8+ naive T-cells,6.779877209547008e+20,1.3923450507091526e-07,IM
,DNMT3A,0.9999949603645026,0.8294260616023671,IM
,RAD51D,0.999959220411701,0.04874032533137299,IM
,Stroma1,0.00030937025701425813,1.3377442938266161e-08,IM
,CDKN2C,0.9999758381323843,0.23448017528146925,IM
,TRDMT1,0.999959941135528,0.002183965930350128,IM
,Reactive oxygen species pathway,4.484617960171914,0.05651763394202998,IM
,CD39,155.53140640295373,0.0005186377564320865,IM
,NTRK2,0.9999823048701184,0.5284624637714371,IM
,PDGFRA,1.1560258198776294e-08,6.132903659096335e-07,IM
,PD-L1,648324381568167.1,1.119640163348205e-07,IM
,IFNγ-iCAF,13.245675710927248,9.237420789832682e-05,IM
,TNFA signaling via NF-kB,1.00018920167278,0.13777535422710188,IM
,Glycolysis,0.012657028841449465,0.001962033724570897,IM
,BRIP1,0.9999593593289363,0.27784734694909097,IM
,TIM3,72517.33835406047,3.4200710402957125e-07,IM
,TLS Meylan,9.390669928425323,3.013027352371072e-07,IM
,CD40L,1470620876670393.2,1.454119453659414e-07,IM
,Adipocytes,0.9999041281061989,0.0014541024707889977,IM
,Basophils,0.9998597521556746,0.007213346599165296,M
,Heme metabolism,0.9999247448823976,0.1288522458424098,M
,Immune1,0.0007566056828437658,8.182528236324647e-06,M
,WNT beta catenin signaling,1.0000924417950792,0.27402158554163447,M
,Th1 cells,0.9999623971016346,0.08730259187081174,M
,Estrogen response early,0.9999889787500391,0.9154245842987188,M
,IFNAR2,0.9999302946726062,0.16096756954025182,M
,PIK3CA,1.0000500272772526,0.18434809692120802,M
,B7-H4,1.000177626594937,0.04645578127526437,M
,VEGFA,1.0003179900893069,0.0001208485756139173,M
,Stroma2,1.000047368949191,0.10647917286095153,M
,Trop-2,1.000008346892995,0.7988179178961806,M
,CCR4,0.9999960148735383,0.5034618308577306,M
,detox-iCAF,0.9996742535336416,0.01220045301815611,M
,CDK12,245.34555737831803,0.1160101741957321,M
,GMP,1.0000039468908348,0.004070076140008924,M
,TGFβ-myCAF,0.999822696163846,0.19510438242913675,M
,Fibroblasts,0.9999879670511724,0.9154245842987188,M
,CD73,1.0001128699523503,0.007685310487450523,M
,E2F targets,1.000247173891495,0.04361437383161372,M
,HDAC1,0.9999774552522294,0.5663239449400068,M
,Myocytes,3.4696150992993694e+37,0.050694261616300994,M
,Endothelial cells,0.9999605514998819,0.044732816293313306,M
,Th2 cells,1.0000206400000464,0.5449574678398377,M
,BARD1,165970.2649023196,0.0007612761412747438,M
,TLR2,1.0000099864813612,0.8734338811620458,M
,GITR,0.9999830288143716,0.07791720688314085,M
,MLH1,1.0000035546116177,0.32855459302994094,M
,Eosinophils,0.9999998406092887,0.36387813853103235,M
,CD8+ Tem,0.9999808653866162,0.0023454619669943224,M
,PI3K AKT mTOR signaling,0.9998243100895715,0.013344778252344756,M
,ecm-myCAF,0.9999685765738461,0.8734338811620458,M
,PD1,2.2211712085259117e-21,2.6792829253374326e-06,M
,IL6 JAK STAT3 signaling,0.0049949201708171815,0.00010154181054654467,M
,Pericytes,1.000015506191436,0.2787071199890089,M
,VCpred TN,0.00017110344757932785,1.4654930472264085e-07,M
,MTOR,1.0000323159860842,0.6943669431680901,M
,PDGFRB,1.000036135891816,0.5449574678398377,M
,NECTIN4,1.0000989065281243,0.7101192252309518,M
,G2M checkpoint,1.00024538444428,0.03548874776587864,M
,KRAS signaling,7.500882899211378e-05,0.0005799055519802516,M
,Preadipocytes,1.0000032383154742,0.7022270952132738,M
,Macrophages,0.9999518312720812,0.0019989618756710422,M
,POLH,1.0000456429461726,0.017366542818606733,M
,5T4,1.0000399610890025,0.21798395843833596,M
,AR gene,0.999818212577589,0.06310090164516648,M
,CD4+ memory T-cells,0.9999957269401527,0.5239990762347159,M
,RAD51C,1.0000045799853965,0.8152664378601786,M
,Tregs,1.0000036149242508,0.3582943450838091,M
,MYC targets v2,1.0001940873842423,0.08344441009571295,M
,NOTCH signaling,1.000150776832911,0.08344441009571295,M
,TF,1.000271654934382,0.12358880030624274,M
,CD8+ Tcm,0.9999473261205434,0.009861963847056841,M
,NKT,0.9999956866945726,0.595422767855216,M
,Mast cells,0.9999952603186287,0.30294953161485705,M
,FOXP3,9.686054779089874e-14,1.4714924904649005e-05,M
,PMS1,1.0000363025155474,0.026448925937132498,M
,Apical junction,1.0000147605185326,0.40148563637081147,M
,IL-iCAF,0.9996147364695449,0.00017766899100146377,M
,ATR,2947.4784095688683,0.013344778252344756,M
,CXCR4,0.9998317758153636,0.026448925937132498,M
,FLT4,0.9999787239902979,0.11116406487605032,M
,Bile acid metabolism,0.9998876990774118,0.06617446059151175,M
,DNMT3B,1.0000126616567682,0.07018879402473076,M
,GGI,1.000051664965605,0.01892553116307404,M
,Complement,0.007057157474931172,0.0011992228710210819,M
,iDC,0.9998637614320891,0.21798395843833596,M
,BRCA2,1.000013318737978,0.4833576841267736,M
,ERBB3,1.0001261265263361,0.39555263393092577,M
,Fatty acid metabolism,0.9999189855920088,0.23427163936763684,M
,CD137,0.9999806880488243,0.01295321254778136,M
,PSMA,1.0000120018173324,0.46694291566451984,M
,Myogenesis,1.0000750801492986,0.1878836370804876,M
,NK cells,0.9999999412514288,0.37235523677616134,M
,Xenobiotic metabolism,0.999854459815016,0.011143941693165514,M
,FANCA,1.0000697738352349,0.07614245249222376,M
,RB1,0.9999863693422284,0.27402158554163447,M
,Class-switched memory B-cells,0.9999614664451563,0.007213346599165296,M
,IFNAR1,0.999967547856278,0.807031511181052,M
,CIN70,1.000064919094544,0.0059495277677955585,M
,Immune2,6.256828156789158e-05,1.7832468645308668e-05,M
,cDC,0.999942656270924,0.009271650518170957,M
,AR,0.999818212577589,0.06310090164516648,M
,ESR1 gene,0.9999772655263094,0.1160101741957321,M
,PALB2,2012145967975.6428,0.02717908892008298,M
,Hedgehog signaling,1.0001177195722326,0.11116406487605032,M
,AKT1,0.999962872809256,0.8317967818365045,M
,BRCA1,1.0001359498933704,0.010485535345612184,M
,Interferon alpha response,0.02880667700787423,0.0004952318773232565,M
,Coagulation,0.9998744532296743,0.09335845912555737,M
,NTRK3,1.0000797540024116,0.0975797300835702,M
,CCND1,1.000073167723639,0.8567301910555958,M
,Apoptosis,0.9997798104187666,0.0013403133811703152,M
,CCL5,0.0011911544732856937,2.0679467577769028e-07,M
,Mitotic spindle,1.0002252945883308,0.03279395407317841,M
,CDK2,1.0000200406877597,0.23847494799534086,M
,CD27,1.7592583771773137e-35,2.9634933781774285e-08,M
,RAD50,1.000025676794601,0.47020092503958577,M
,Oxidative phosphorylation,0.9999222729522858,0.4900102525346619,M
,CDK6,1.000141083067363,0.15781906581888716,M
,mTORC1 signaling,0.9999840057044379,0.7581000911607553,M
,naive B-cells,0.9999927157998177,0.2787071199890089,M
,CD8+ T-cells,0.9999363595617802,0.01220045301815611,M
,pDC,8.646455424341115e-17,1.4253435618650363e-06,M
,Epithelial cells,1.0000179397870066,0.16416329591402223,M
,Trm,0.023274407754959096,0.0008540871111976703,M
,LIV-1,1.0000768678337788,0.17742519035905013,M
,TP53,0.9999779045929476,0.5034618308577306,M
,Smooth muscle,1.0000745499437425,0.007445975372901992,M
,TLS ST,0.0013061286855906402,2.7470296596403964e-07,M
,CD47,0.0007723307834741294,0.004280041047069313,M
,Memory B-cells,0.9998427065710169,3.3456790254434956e-07,M
,PDGFC,1.000036078874153,0.09974684555390091,M
,CSF1R,0.019343650416315108,0.003495057047574509,M
,TLS Cabrita,0.0012835152405981248,3.6391593382636445e-07,M
,CCNE1,1.0000124083396258,0.3079614070315867,M
,TLR3,1.465087732682943e-58,3.958382970459103e-05,M
,ERBB2,1.000176704532499,0.28344686641071637,M
,TTK,941457.2777708865,0.005221689359164438,M
,PGR,0.999999741222972,0.588084356479139,M
,Angiogenesis,1.0001450400082037,0.15781906581888716,M
,DNA repair,1.0000114972657492,0.8567301910555958,M
,ATM,0.999967157965761,0.4900102525346619,M
,MYC targets v1,1.0001709947154545,0.15781906581888716,M
,CMP,1.0000033820649188,0.47675445053111754,M
,GENE70,35408027998.872406,0.00018534286724947028,M
,Androgen response,0.9999861644444864,0.9154245842987188,M
,DNMT1,1.000119755396359,0.17069778076509734,M
,wound-myCAF,0.9998440739463698,0.38967292107363927,M
,CD4+ naive T-cells,6.620771746725837e-10,3.1295421038146714e-06,M
,MPP,0.999992734644646,0.04823427340561598,M
,MSH6,834.5116941410439,0.004425424269180555,M
,Neurons,1.00000339797191,0.0016694844440417627,M
,p53 pathway,0.9999016047575301,0.11849471399653086,M
,MSH2,1.000057497266295,0.0014427181824476852,M
,Apical surface,1.0000374265377947,0.595422767855216,M
,LAG3,0.9995881658633713,0.0009216771417792472,M
,EGFR,0.9999866464109273,0.7419921041721016,M
,Inflammatory response,0.005690745179281393,0.00013175299516698602,M
,CD4+ Tem,0.9999513111152858,0.000238334153734467,M
,NKG2A,0.9999947955205043,0.07269185952163877,M
,MSH3,1.0000086312091212,0.6787455755407981,M
,FANCM,1.0000125770559496,0.2979921860310948,M
,Epithelial mesenchymal transition,1.000184900004339,0.11849471399653086,M
,CD134,0.9998174095007593,1.0906937946967409e-06,M
,TLS Lundeberg,0.9999999696683665,1.033516921253242e-06,M
,ESR1,0.9999772655263094,0.1160101741957321,M
,NBN,1.0000659842005455,0.21798395843833596,M
,GPNMB,0.9999279669091438,0.26028922220518946,M
,Interferon gamma response,0.010058098952866756,4.7537354333300666e-05,M
,CD4+ Tcm,0.9999966556767327,0.4508421203320515,M
,CD40,1.4730926479656179e-05,5.4473085403435556e-05,M
,Parpi7,0.9999942319651525,0.4967117685049207,M
,TIGIT,1.8527586632822107e-27,8.552568423846857e-07,M
,ADA,0.9998850512304179,0.006767561519878996,M
,VISTA,0.0015021538359548273,1.7832468645308668e-05,M
,Peroxisome,0.9999350838812516,0.37235523677616134,M
,CDK4,0.9999928876003374,0.8317967818365045,M
,CLP,1.0000077717705245,0.0770256638924611,M
,Normal Fibroblast,0.9997785017960892,0.0059495277677955585,M
,B7-H3,1.0001964374981995,0.0393739146160903,M
,pro B-cells,0.9999550566325988,9.719172451911756e-05,M
,NTRK1,0.9999967171039892,0.5591572943909588,M
,ICOS,1.5054673784324588e-25,5.485427008026699e-06,M
,CAF,0.9997936764491653,0.03457021562696014,M
,DC,0.9999651741530209,8.901398451334183e-05,M
,PTEN,0.9999929212477355,0.8734338811620458,M
,Hypoxia,1.000118515445497,0.055930179241916816,M
,Estrogen response late,1.000011271356397,0.9407404908579982,M
,Monocytes,0.9999825561430057,0.0975797300835702,M
,Protein secretion,1.0001374595108907,0.17069778076509734,M
,IDO1,0.9999219749893219,0.00019744000412099893,M
,TLR7,6.805878378187723e-11,0.0006779036616480259,M
,PIK3CG,0.9999946342540347,0.26028922220518946,M
,IL2RA,0.9999857457321545,0.04945143639160681,M
,EMSY,1.0000157184783391,0.7022270952132738,M
,PLK4,223121435945317.4,0.1288522458424098,M
,CTLA4,8.462331274426938e-22,1.2725501786813758e-05,M
,aDC,6.906474720258057e-06,3.440871045550818e-07,M
,TAM,0.038750510992553784,4.144453476830326e-05,M
,TGF beta signaling,1.0000758146998054,0.45724442162388046,M
,MLH3,0.9999953064098461,0.6251853128314162,M
,MSC,0.9999750730034614,0.5807880332080196,M
,Neutrophils,1.0000033190479483,0.011143941693165514,M
,Cholesterol homeostasis,0.9999758047269509,0.5239990762347159,M
,Unfolded protein response,0.9999817630895576,0.807031511181052,M
,IL2 STAT5 signaling,0.0052844814683983155,0.0004952318773232565,M
,IFNGR1,0.9999215408550616,0.025735772521470513,M
,Tgd cells,1.0000000699644405,0.5555905548334015,M
,B-cells,6.897529429711345e-16,2.4528790836333243e-07,M
,CHEK2,1.000004810014997,0.3780740644186318,M
,PMS2,0.9999965516632386,0.7299844183431056,M
,CDKN2A,1.0002611912821069,0.07791720688314085,M
,CD4+ T-cells,0.9999963276213578,0.47020092503958577,M
,MYC,1.0000514523338713,0.06617446059151175,M
,FLT1,1.000093237179655,0.026448925937132498,M
,DCIR,0.9999647115693558,0.006767561519878996,M
,VEGFB,0.9999152351640427,0.19146896852111295,M
,Adipogenesis,0.9998928862395767,0.18086204974867126,M
,CD96,1.4449355754488616e-27,4.4237645277224154e-07,M
,Plasma cells,0.9999587771724593,0.00018534286724947028,M
,CXCL12,0.9999085532025146,0.07614245249222376,M
,ABRAXAS1,27403111928.681892,0.05458070205527919,M
,KDR,1.0000177909202739,0.8985932522014307,M
,CD8+ naive T-cells,0.9999720790100267,0.002387179887232062,M
,DNMT3A,33.87478536015145,0.051963147019262745,M
,RAD51D,1.0000089326800334,0.5735343747735173,M
,Stroma1,1.00004849876565,0.47675445053111754,M
,CDKN2C,1.0000240613395222,0.6251853128314162,M
,TRDMT1,3662873929.8659344,0.020605550369503126,M
,Reactive oxygen species pathway,0.9998403490149016,0.04945143639160681,M
,CD39,0.00017788734750713922,4.5417775477406894e-05,M
,NTRK2,1.000068839723794,0.6787455755407981,M
,PDGFRA,1.0000693427495781,0.10880167352218593,M
,PD-L1,0.9999788526860937,0.00038180446964652633,M
,IFNγ-iCAF,0.006102759879846148,5.768792049999226e-06,M
,TNFA signaling via NF-kB,0.999804565427052,0.036428022024614946,M
,Glycolysis,1.0001557364135611,0.01220045301815611,M
,BRIP1,1.000054418222194,0.055930179241916816,M
,TIM3,0.9999260248254694,0.01687251355498593,M
,TLS Meylan,0.03395472134180073,2.4528790836333243e-07,M
,CD40L,0.9999603857778167,5.674866552103854e-07,M
,Adipocytes,0.999970243091596,0.588084356479139,M
,Basophils,0.9998853736993315,0.142610623780997,MSL
,Heme metabolism,0.9999972207147173,0.9318184708274291,MSL
,Immune1,0.9998264108836088,0.031202208550245053,MSL
,WNT beta catenin signaling,12.082434340952233,0.0008242913367699994,MSL
,Th1 cells,4.909605026716766e-10,3.0599667259143943e-06,MSL
,Estrogen response early,6.813452294732485,0.09916414306578854,MSL
,IFNAR2,0.9999009759487654,0.17347061446053735,MSL
,PIK3CA,2540.0517175081563,0.00045175601511016615,MSL
,B7-H4,1.0001012140952763,0.11524971218079373,MSL
,VEGFA,1.0001390609723022,0.02409586082301302,MSL
,Stroma2,971916.0748906325,2.2177182311956614e-07,MSL
,Trop-2,1.0000466191900834,0.44129143405376026,MSL
,CCR4,1.0000029961052548,0.7088952254460024,MSL
,detox-iCAF,14.17847182628085,1.166756299732109e-06,MSL
,CDK12,1241.6667445236276,0.0032001054197006253,MSL
,GMP,1.0000006711719807,0.3710752828096806,MSL
,TGFβ-myCAF,71.09835035081134,1.3050091952488073e-09,MSL
,Fibroblasts,20572.329734352603,1.5201895275988037e-07,MSL
,CD73,19.91098873639945,0.0001889103637394966,MSL
,E2F targets,0.16451643546999786,0.002016204091276488,MSL
,HDAC1,0.9998959966682447,0.2594049581142821,MSL
,Myocytes,1.0000022110900169,0.16150555474641515,MSL
,Endothelial cells,1576920519.8551657,8.628255225628659e-06,MSL
,Th2 cells,7.276085561610683e-08,0.0006574618924767968,MSL
,BARD1,1.000015039435961,0.8034431648590581,MSL
,TLR2,1.0000099530879345,0.3082467603894402,MSL
,GITR,1.0000043442487971,0.9503849483808234,MSL
,MLH1,1.0000400919152075,0.0021243098695776647,MSL
,Eosinophils,0.9999994868537966,0.5570471668917594,MSL
,CD8+ Tem,0.9999687778734794,0.04436848634241293,MSL
,PI3K AKT mTOR signaling,1.0000456614677264,0.5389141568564041,MSL
,ecm-myCAF,16.75729429619205,1.7250295511542083e-07,MSL
,PD1,0.999921414765777,0.08849980629013592,MSL
,IL6 JAK STAT3 signaling,1.0000095033985124,0.968978401061416,MSL
,Pericytes,150.86055195289657,0.046464620406478294,MSL
